# format: fabric_name | formality | family | weight

# natural
linen | 0.2 | natural | light
bamboo | 0.1 | natural | light
modal | 0.1 | natural | light
hemp | 0.15 | natural | medium
jersey | 0.1 | casual | light

# cozy
wool | 0.2 | natural | medium

# accent
silk | 0.4 | luxury | light
suede | 0.3 | luxury | medium
velvet | 0.3 | luxury | medium

# performance light
spandex | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.15 | sporty | light
mesh | 0.1 | sporty | light

# accessories
metal | 0.5 | luxury | heavy
wood | 0.1 | natural | light
canvas | 0.1 | casual | medium
jute | 0.1 | natural | medium
leather | 0.3 | tough | medium
glass | 0.3 | luxury | heavy
