# element: architecture_detail
# format: name | probability | coverage_range | texture

warehouse-style skylight panel | 0.85 | 0.1-0.3 | industrial wired-glass glow
track-light spotlight rail | 0.95 | 0.05-0.15 | row of adjustable spots
exposed ceiling-duct line | 0.85 | 0.1-0.3 | matte spiral metal pipe
warehouse-style pendant cage halo | 0.85 | 0.05-0.15 | wire-cage bulb glow
frameless glass meeting-room reveal | 0.75 | 0.05-0.2 | minimal-frame partition
salvaged-mill window mullion | 0.7 | 0.05-0.15 | weathered wood divider
painted brand-color trim band | 0.65 | 0.05-0.15 | bold accent paint stripe
ceiling-edge plaster shadow | 0.55 | 0.02-0.1 | subtly graded reveal line
exposed conduit raceway corner | 0.65 | 0.02-0.1 | color-coded utility run
LED ambient cove-light line | 0.65 | 0.05-0.15 | thin glowing accent strip
ceiling-mounted speaker dot | 0.55 | 0.02-0.05 | small flush black disk
daylight large-window glow | 0.85 | 0.05-0.2 | graded warm light pool
