# element: midground
# format: name | probability | coverage_range | texture

elevated wooden treehouse deck | 1.0 | 0.3-0.6 | richly oiled hardwood plank
massive supporting rainforest tree trunk | 0.95 | 0.2-0.5 | rough deeply grooved bark
rope-railed treehouse balcony | 0.85 | 0.15-0.4 | thick natural twisted rope
swinging hammock chair from branch | 0.7 | 0.1-0.3 | softly slung knotted netting
hanging woven rattan lantern | 0.7 | 0.05-0.2 | golden plaited shade
small wooden plank table | 0.65 | 0.05-0.2 | softly weathered split timber
pile of soft floor cushions | 0.65 | 0.05-0.2 | softly piled tropical patterns
bamboo rope ladder hanging | 0.55 | 0.1-0.3 | thin tied bamboo rungs
clay pot of tropical orchid | 0.55 | 0.05-0.15 | warm hand-thrown earthen jar
rustic outdoor canopy bed frame | 0.55 | 0.15-0.4 | rich four-post timber form
trailing monstera leaf sprawl | 0.7 | 0.1-0.3 | huge glossy fenestrated leaves
hanging bamboo wind chime | 0.5 | 0.05-0.15 | softly clinking hollow stalks
