# element: foreground_element
# format: name | probability | coverage_range | texture

warm honey-oak home study floor | 1.0 | 0.3-0.6 | matte sealed domestic plank
vintage hand-knotted oushak rug | 0.9 | 0.2-0.5 | softly faded warm-tone weave
soft-pile beige domestic carpet | 0.7 | 0.3-0.6 | looped warm-toned pile
cottage wide-plank pine floor | 0.7 | 0.3-0.6 | softly knotted warm timber
woven jute domestic area rug | 0.75 | 0.2-0.5 | coarse looped natural fiber
knit cushion floor pillow edge | 0.55 | 0.05-0.2 | chunky-knit textured sphere
home-desk warm wood surface edge | 0.85 | 0.1-0.3 | matte sealed work surface
velvet ottoman footstool edge | 0.6 | 0.1-0.3 | softly piled jewel-toned cushion
low cane-front sideboard edge | 0.5 | 0.1-0.3 | woven rattan cabinet face
framed family-photo on side-table | 0.55 | 0.05-0.15 | matted gilt-frame portrait
scattered child-toy basket overflow | 0.5 | 0.05-0.15 | softly piled plush toys
dog-bed in warm wool pile | 0.55 | 0.1-0.3 | padded canvas pet mat
