# element: midground
# format: name | probability | coverage_range | texture

distant softbox glow | 0.7 | 0.1-0.35 | feathered halo edge
faint catchlight reflection | 0.55 | 0.1-0.25 | crisp specular sheen
subtle vignette darkening | 0.65 | 0.15-0.4 | smoothly falling tonality
hovering rim of fill light | 0.5 | 0.1-0.3 | gentle luminous gradient
soft halo from beauty dish | 0.45 | 0.1-0.3 | diffused circular wash
recessed shadow gradient | 0.55 | 0.15-0.4 | velvety tonal transition
backlit floating panel | 0.6 | 0.1-0.3 | softly luminous edge bloom
suspended scrim haze | 0.5 | 0.1-0.3 | translucent diffused veil
distant flag silhouette | 0.5 | 0.1-0.25 | crisp dark rectangular cutout
hint of strobed background pop | 0.55 | 0.1-0.3 | brief illuminated halo
floating reflector card | 0.45 | 0.05-0.2 | bright bounced highlight edge
warm gel-spill across backdrop | 0.5 | 0.1-0.3 | colored gradient wash
