# format: fabric_name | formality | family | weight
spandex | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.15 | sporty | light
mesh | 0.1 | sporty | light
cotton | 0.15 | natural | medium
modal | 0.2 | natural | light
fleece | 0.1 | casual | medium
canvas | 0.15 | casual | medium
knit | 0.1 | sporty | light
synthetic | 0.1 | sporty | light
leather | 0.4 | luxury | medium
silicone | 0.1 | sporty | light
satin | 0.3 | luxury | light
microfiber | 0.1 | sporty | light
sandalwood | 0.3 | natural | medium
plastic | 0.1 | casual | light
glass | 0.3 | luxury | medium
foam | 0.1 | sporty | light
metal | 0.5 | luxury | heavy
none | 0.0 | natural | light
