# element: midground
# format: name | probability | coverage_range | texture

round pedestal breakfast table | 1.0 | 0.4-0.7 | painted wood top
banquette bench seat | 0.95 | 0.3-0.6 | upholstered cushioned bench
two chairs facing bench | 0.95 | 0.3-0.5 | spindle-back painted
window seat with cushions | 0.85 | 0.3-0.6 | built-in padded bench
small sideboard buffet | 0.7 | 0.3-0.5 | painted timber unit
hanging pendant over table | 0.95 | 0.2-0.5 | suspended lamp shade
window with cafe curtain | 0.85 | 0.3-0.6 | half-height fabric panel
freestanding tea trolley | 0.6 | 0.2-0.4 | wheeled tiered cart
chalkboard menu wall slate | 0.65 | 0.3-0.5 | framed slate panel
small coffee station counter | 0.7 | 0.3-0.5 | tucked appliance ledge
floor lamp by window seat | 0.65 | 0.2-0.4 | tall slim stand
small wall shelf row | 0.7 | 0.3-0.5 | painted ledge
