# element: time_of_day
# format: name | probability | coverage_range | texture

bright competition arena floodlights | 1.0 | - | -
cool morning training session light | 0.9 | - | -
late afternoon practice glow | 0.85 | - | -
evening prime-time broadcast lighting | 0.95 | - | -
pre-game warmup hush before tipoff | 0.8 | - | -
between-period dim house lights | 0.7 | - | -
post-match cooldown lighting | 0.7 | - | -
sharp televised arena spotlights | 0.85 | - | -
quiet empty-venue early hours | 0.65 | - | -
under-the-lights night session brightness | 0.85 | - | -
dimmed pre-introduction tunnel hush | 0.6 | - | -
