# element: architecture_detail
# format: name | probability | coverage_range | texture

coffered wooden ceiling | 0.85 | 0.2-0.5 | richly grained dark timber
ornate carved cornice moulding | 0.85 | 0.05-0.15 | crisply detailed dark woodwork
herringbone parquet floor dark | 0.85 | 0.4-0.8 | richly grained patterned wood
deep painted skirting dark | 0.85 | 0.05-0.15 | crisply profiled dark wood
arched alcove with shelves | 0.7 | 0.1-0.25 | smoothly curved painted plaster
fluted pilaster column dark | 0.65 | 0.05-0.15 | crisply carved dark wood
stained glass pendant light fixture | 0.55 | 0.05-0.15 | sharply leaded jewel glass
mahogany framed doorway | 0.7 | 0.1-0.25 | richly carved dark wood
brick fireplace surround | 0.55 | 0.1-0.25 | softly mortared aged masonry
heavy velvet draped curtains | 0.6 | 0.15-0.4 | richly piled cascading fabric
